industry_code,summary_name,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_naics_with_import_weights,n_naics_in_concordance
325,Chemical products,2018.0,0.027465600449380317,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2019.0,0.08013200324346714,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2020.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2021.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2022.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2023.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2024.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2025.0,0.08634926541370047,0.34800130865755924,3384.6348639999997,4.0,4.0
327,Nonmetallic mineral products,2016.0,0.0,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2017.0,0.0,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2018.0,0.030834958735557024,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2019.0,0.18500975241334217,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2020.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2021.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2022.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2023.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2024.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
327,Nonmetallic mineral products,2025.0,0.23126219051667773,0.9250487620667109,1504.6562820000001,4.0,4.0
331,Primary metals,2016.0,0.0,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2017.0,0.0,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2018.0,0.06574079497697073,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2019.0,0.05834958769170366,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2020.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2021.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2022.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2023.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2024.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
331,Primary metals,2025.0,0.0827495840610918,0.9124312181730714,2052.3813310000005,5.0,5.0
332,Fabricated metal products,2016.0,0.0,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2017.0,0.0,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2018.0,0.04786375387451847,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2019.0,0.17232992846916947,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2020.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2021.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2022.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2023.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2024.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
332,Fabricated metal products,2025.0,0.20639226578256503,0.9820743335614777,11039.355812999998,12.0,12.0
333,Machinery,2016.0,0.0,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2017.0,0.0,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2018.0,0.06543508655406756,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2019.0,0.18247114195951336,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2020.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2021.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2022.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2023.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2024.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
333,Machinery,2025.0,0.2101789023418845,0.997610012019048,31580.890616,31.0,31.0
334,Computer and electronic products,2016.0,0.0,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2017.0,0.0,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2018.0,0.03347212335181081,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2019.0,0.0983904799232802,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2020.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2021.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2022.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2023.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2024.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
334,Computer and electronic products,2025.0,0.11481249061953212,1.0008372530932117,90277.15348300002,18.0,18.0
335,"Electrical equipment, appliances, and components",2016.0,0.0,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2017.0,0.0,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2018.0,0.07019103070136522,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2019.0,0.19991701640728432,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2020.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2021.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2022.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2023.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2024.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
335,"Electrical equipment, appliances, and components",2025.0,0.22555814620022524,0.9994549238176665,13938.29385,8.0,8.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2016.0,0.0,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2017.0,0.0,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2018.0,0.09594393053113281,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2019.0,0.23415123483516337,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2020.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2021.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2022.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2023.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2024.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2025.0,0.25000000000000006,1.0,2481.4382849999997,6.0,6.0
3364OT,Other transportation equipment,2016.0,0.0,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2017.0,0.0,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2018.0,0.07553245389344175,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2019.0,0.20755426625953352,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2020.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2021.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2022.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2023.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2024.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
3364OT,Other transportation equipment,2025.0,0.23278074150662706,0.9999914480958939,3180.3443610000004,10.0,10.0
337,Furniture and related products,2016.0,0.0,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2017.0,0.0,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2018.0,0.03619770428130669,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2019.0,0.19814289886893605,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2020.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2021.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2022.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2023.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2024.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
337,Furniture and related products,2025.0,0.24826201784551571,1.2871884692476347,23052.842241,8.0,8.0
339,Miscellaneous manufacturing,2016.0,0.0,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2017.0,0.0,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2018.0,0.0354350489689259,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2019.0,0.031465126889701385,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2020.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2021.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2022.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2023.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2024.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
339,Miscellaneous manufacturing,2025.0,0.043103828699687874,0.48978983797532616,5484.873928999999,4.0,4.0
